candidate_approval_number,discipline_root,approval_year,project_type_contexts,discipline_scope_contexts,priority,context_risk,max_segment_density,existence_status,evidence_level,crossref_strict_http_status,crossref_fallback_http_status,openalex_award_http_statuses,openalex_work_http_statuses,exact_web_query,funding_web_query,institution_site_query,next_action,source_errors,warning
51901142,E,2019,youth_c,E01,P1,false,0.996063,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51901142""","""51901142"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51901142""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51605246,E,2016,youth_c,E05,P1,false,0.995992,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51605246""","""51605246"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51605246""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51475123,E,2014,general,E05,P1,false,0.995876,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51475123""","""51475123"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51475123""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51475283,E,2014,general,E05,P1,false,0.995876,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51475283""","""51475283"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51475283""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51801223,E,2018,youth_c,E01,P1,false,0.995798,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51801223""","""51801223"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51801223""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51306192,E,2013,youth_c,E06,P1,false,0.995370,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51306192""","""51306192"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51306192""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21976137,B,2019,general,B06,P1,false,0.995370,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""21976137""","""21976137"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21976137""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
52104154,E,2021,youth_c,E04,P1,false,0.995074,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""52104154""","""52104154"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""52104154""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
52104367,E,2021,youth_c,E04,P1,false,0.995074,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""52104367""","""52104367"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""52104367""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
50905106,E,2009,youth_c,E05,P1,false,0.994819,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""50905106""","""50905106"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50905106""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51476024,E,2014,general,E06,P1,false,0.994737,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51476024""","""51476024"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51476024""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51702049,E,2017,youth_c,E02,P1,false,0.994737,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51702049""","""51702049"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51702049""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51103029,E,2011,youth_c,E03,P1,false,0.994565,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51103029""","""51103029"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51103029""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51071077,E,2010,general,E01,P1,false,0.994536,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51071077""","""51071077"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51071077""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51207155,E,2012,youth_c,E07,P1,false,0.994286,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51207155""","""51207155"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51207155""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
50375094,E,2003,general,E05,P1,false,0.993939,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""50375094""","""50375094"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50375094""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51572142,E,2015,general,E02,P1,false,0.993399,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51572142""","""51572142"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51572142""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51572297,E,2015,general,E02,P1,false,0.993399,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51572297""","""51572297"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51572297""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
50971006,E,2009,general,E01,P1,false,0.992647,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""50971006""","""50971006"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50971006""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51274134,E,2012,general,E04,P1,false,0.992593,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51274134""","""51274134"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51274134""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51274190,E,2012,general,E04,P1,false,0.992593,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51274190""","""51274190"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51274190""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51105077,E,2011,youth_c,E05,P1,false,0.992462,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51105077""","""51105077"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51105077""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51105098,E,2011,youth_c,E05,P1,false,0.992462,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51105098""","""51105098"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51105098""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51105357,E,2011,youth_c,E05,P1,false,0.992462,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51105357""","""51105357"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51105357""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51701197,E,2017,youth_c,E01,P1,false,0.991803,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51701197""","""51701197"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51701197""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
50876024,E,2008,general,E06,P1,false,0.991667,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""50876024""","""50876024"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50876024""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
50675013,E,2006,general,E05,P1,false,0.991525,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""50675013""","""50675013"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50675013""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
50675021,E,2006,general,E05,P1,false,0.991525,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""50675021""","""50675021"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50675021""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
50575112,E,2005,general,E05,P1,false,0.991489,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""50575112""","""50575112"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50575112""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
50575146,E,2005,general,E05,P1,false,0.991489,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""50575146""","""50575146"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50575146""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
50775046,E,2007,general,E05,P1,false,0.991304,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""50775046""","""50775046"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50775046""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
50775103,E,2007,general,E05,P1,false,0.991304,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""50775103""","""50775103"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50775103""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21973019,B,2019,general,B03,P1,false,0.991150,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""21973019""","""21973019"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21973019""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51302176,E,2013,youth_c,E02,P1,false,0.990909,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51302176""","""51302176"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51302176""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51302240,E,2013,youth_c,E02,P1,false,0.990909,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51302240""","""51302240"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51302240""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51303042,E,2013,youth_c,E03,P1,false,0.990826,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51303042""","""51303042"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51303042""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
22007002,B,2020,youth_c,B07,P1,false,0.990654,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""22007002""","""22007002"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""22007002""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
52008257,E,2020,youth_c,E08,P1,false,0.990338,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""52008257""","""52008257"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""52008257""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
52008370,E,2020,youth_c,E08,P1,false,0.990338,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""52008370""","""52008370"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""52008370""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
50776049,E,2007,general,E06,P1,false,0.990291,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""50776049""","""50776049"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50776049""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
50573017,E,2005,general,E03,P1,false,0.989474,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""50573017""","""50573017"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50573017""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
50977051,E,2009,general,E07,P1,false,0.989474,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""50977051""","""50977051"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50977051""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51106004,E,2011,youth_c,E06,P1,false,0.989474,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51106004""","""51106004"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51106004""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51106081,E,2011,youth_c,E06,P1,false,0.989474,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51106081""","""51106081"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51106081""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
59975073,E,1999,general,E05,P1,false,0.988764,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""59975073""","""59975073"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""59975073""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
52105358,E,2021,youth_c,E05,P1,false,0.988255,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""52105358""","""52105358"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""52105358""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
52105380,E,2021,youth_c,E05,P1,false,0.988255,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""52105380""","""52105380"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""52105380""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51501135,E,2015,youth_c,E01,P1,false,0.987013,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51501135""","""51501135"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51501135""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51501187,E,2015,youth_c,E01,P1,false,0.987013,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51501187""","""51501187"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51501187""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
22102075,B,2021,youth_c,B02,P1,false,0.986425,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""22102075""","""22102075"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""22102075""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
22102144,B,2021,youth_c,B02,P1,false,0.986425,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""22102144""","""22102144"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""22102144""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
22102216,B,2021,youth_c,B02,P1,false,0.986425,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""22102216""","""22102216"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""22102216""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
59171010,E,1991,general,E01,P1,false,0.985075,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""59171010""","""59171010"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""59171010""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51206111,E,2012,youth_c,E06,P1,false,0.985075,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51206111""","""51206111"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51206111""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51206121,E,2012,youth_c,E06,P1,false,0.985075,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51206121""","""51206121"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51206121""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51206158,E,2012,youth_c,E06,P1,false,0.985075,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51206158""","""51206158"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51206158""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21901126,B,2019,youth_c,B01,P1,false,0.984962,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""21901126""","""21901126"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21901126""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21901129,B,2019,youth_c,B01,P1,false,0.984962,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""21901129""","""21901129"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21901129""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51006019,E,2010,youth_c,E06,P1,false,0.984733,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51006019""","""51006019"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51006019""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51006124,E,2010,youth_c,E06,P1,false,0.984733,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51006124""","""51006124"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51006124""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
50706037,E,2007,youth_c,E06,P1,false,0.983051,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""50706037""","""50706037"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50706037""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
50807010,E,2008,youth_c,E07,P1,false,0.982759,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""50807010""","""50807010"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50807010""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
50175010,E,2001,general,E05,P1,false,0.982456,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""50175010""","""50175010"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50175010""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
50175104,E,2001,general,E05,P1,false,0.982456,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""50175104""","""50175104"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50175104""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
50906090,E,2009,youth_c,E06,P1,false,0.980769,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""50906090""","""50906090"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50906090""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
50906101,E,2009,youth_c,E06,P1,false,0.980769,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""50906101""","""50906101"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50906101""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51902002,E,2019,youth_c,E02,P1,false,0.980556,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51902002""","""51902002"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51902002""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51902186,E,2019,youth_c,E02,P1,false,0.980556,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51902186""","""51902186"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51902186""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51902206,E,2019,youth_c,E02,P1,false,0.980556,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51902206""","""51902206"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51902206""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51902214,E,2019,youth_c,E02,P1,false,0.980556,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51902214""","""51902214"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51902214""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51902225,E,2019,youth_c,E02,P1,false,0.980556,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51902225""","""51902225"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51902225""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51902302,E,2019,youth_c,E02,P1,false,0.980556,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51902302""","""51902302"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51902302""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
50602015,E,2006,youth_c,E02,P1,false,0.980392,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""50602015""","""50602015"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50602015""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
50403006,E,2004,youth_c,E03,P2,false,0.966667,award_number_only,D_award_only,200,200,200,200,"""50403006""","""50403006"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50403006""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
59876042,E,1998,general,E06,P2,false,0.979167,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""59876042""","""59876042"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""59876042""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
