discipline_root,discipline_scope,approval_year,project_type,completed_layer_sample_count,rule_coverage_status,rule_confidence,anchor_collection_priority,required_next_evidence,warning
B,B05,1986,major,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05,1986,innovation_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05,1986,excellence_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05,1986,major_instrument,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05,1986,key_international_cooperation,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05,1986,original_exploration,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1986,youth_a,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1986,youth_b,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1986,key,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1986,major,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1986,innovation_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1986,excellence_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1986,major_instrument,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1986,key_international_cooperation,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1986,original_exploration,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B07,1986,youth_a,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B07,1986,youth_b,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B07,1986,key,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B07,1986,major,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B07,1986,innovation_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B07,1986,excellence_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B07,1986,major_instrument,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B07,1986,key_international_cooperation,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B07,1986,original_exploration,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B08,1986,youth_a,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B08,1986,youth_b,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B08,1986,key,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B08,1986,major,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B08,1986,innovation_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B08,1986,excellence_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B08,1986,major_instrument,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B08,1986,key_international_cooperation,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B08,1986,original_exploration,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B09,1986,youth_a,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B09,1986,youth_b,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B09,1986,key,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B09,1986,major,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B09,1986,innovation_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B09,1986,excellence_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B09,1986,major_instrument,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B09,1986,key_international_cooperation,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B09,1986,original_exploration,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05_legacy_material_energy,1986,youth_a,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05_legacy_material_energy,1986,youth_b,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05_legacy_material_energy,1986,key,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05_legacy_material_energy,1986,major,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05_legacy_material_energy,1986,innovation_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05_legacy_material_energy,1986,excellence_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05_legacy_material_energy,1986,major_instrument,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05_legacy_material_energy,1986,key_international_cooperation,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05_legacy_material_energy,1986,original_exploration,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B01,1987,youth_a,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B01,1987,youth_b,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B01,1987,key,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B01,1987,major,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B01,1987,innovation_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B01,1987,excellence_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B01,1987,major_instrument,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B01,1987,key_international_cooperation,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B01,1987,original_exploration,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B02,1987,youth_a,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B02,1987,youth_b,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B02,1987,key,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B02,1987,major,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B02,1987,innovation_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B02,1987,excellence_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B02,1987,major_instrument,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B02,1987,key_international_cooperation,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B02,1987,original_exploration,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B03,1987,youth_a,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B03,1987,youth_b,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B03,1987,key,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B03,1987,major,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B03,1987,innovation_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B03,1987,excellence_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B03,1987,major_instrument,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B03,1987,key_international_cooperation,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B03,1987,original_exploration,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B04,1987,youth_a,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B04,1987,youth_b,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B04,1987,key,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B04,1987,major,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B04,1987,innovation_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B04,1987,excellence_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B04,1987,major_instrument,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B04,1987,key_international_cooperation,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B04,1987,original_exploration,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05,1987,youth_a,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05,1987,youth_b,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05,1987,key,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05,1987,major,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05,1987,innovation_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05,1987,excellence_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05,1987,major_instrument,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05,1987,key_international_cooperation,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05,1987,original_exploration,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1987,youth_a,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1987,youth_b,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1987,key,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1987,major,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1987,innovation_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1987,excellence_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1987,major_instrument,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1987,key_international_cooperation,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1987,original_exploration,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B07,1987,youth_a,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B07,1987,youth_b,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B07,1987,key,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B07,1987,major,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B07,1987,innovation_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B07,1987,excellence_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B07,1987,major_instrument,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B07,1987,key_international_cooperation,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B07,1987,original_exploration,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B08,1987,youth_a,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B08,1987,youth_b,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B08,1987,key,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B08,1987,major,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B08,1987,innovation_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B08,1987,excellence_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B08,1987,major_instrument,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B08,1987,key_international_cooperation,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B08,1987,original_exploration,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B09,1987,youth_a,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B09,1987,youth_b,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B09,1987,key,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B09,1987,major,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B09,1987,innovation_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B09,1987,excellence_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B09,1987,major_instrument,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B09,1987,key_international_cooperation,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B09,1987,original_exploration,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05_legacy_material_energy,1987,youth_a,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05_legacy_material_energy,1987,youth_b,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05_legacy_material_energy,1987,key,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05_legacy_material_energy,1987,major,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05_legacy_material_energy,1987,innovation_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05_legacy_material_energy,1987,excellence_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05_legacy_material_energy,1987,major_instrument,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05_legacy_material_energy,1987,key_international_cooperation,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05_legacy_material_energy,1987,original_exploration,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B01,1988,youth_a,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B01,1988,youth_b,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B01,1988,key,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B01,1988,major,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B01,1988,innovation_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B01,1988,excellence_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B01,1988,major_instrument,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B01,1988,key_international_cooperation,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B01,1988,original_exploration,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B02,1988,youth_a,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B02,1988,youth_b,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B02,1988,key,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B02,1988,major,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B02,1988,innovation_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B02,1988,excellence_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B02,1988,major_instrument,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B02,1988,key_international_cooperation,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B02,1988,original_exploration,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B03,1988,youth_a,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B03,1988,youth_b,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B03,1988,key,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B03,1988,major,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B03,1988,innovation_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B03,1988,excellence_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B03,1988,major_instrument,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B03,1988,key_international_cooperation,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B03,1988,original_exploration,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B04,1988,youth_a,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B04,1988,youth_b,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B04,1988,key,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B04,1988,major,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B04,1988,innovation_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B04,1988,excellence_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B04,1988,major_instrument,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B04,1988,key_international_cooperation,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B04,1988,original_exploration,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05,1988,youth_a,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05,1988,youth_b,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05,1988,key,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05,1988,major,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05,1988,innovation_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05,1988,excellence_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05,1988,major_instrument,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05,1988,key_international_cooperation,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B05,1988,original_exploration,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1988,youth_a,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1988,youth_b,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1988,key,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1988,major,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1988,innovation_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1988,excellence_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1988,major_instrument,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1988,key_international_cooperation,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B06,1988,original_exploration,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B07,1988,youth_a,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B07,1988,youth_b,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B07,1988,key,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B07,1988,major,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
B,B07,1988,innovation_group,0,empty,none,P0,official award list / division review summary / institutional award announcement,zero completed-layer records do not prove zero awards
